epoch,MR,MRR,HIT1,HIT3,HIT10
0.0,0.000854,20392.337343,0.000659,0.000659,0.000659
10000.0,0.150392,5712.883817,0.002802,0.240606,0.458965
20000.0,0.160021,4068.058668,0.00412,0.255109,0.473138
30000.0,0.164691,3629.247034,0.005603,0.26269,0.480883
40000.0,0.166832,3450.060481,0.006427,0.264173,0.486651
50000.0,0.16684,3425.136948,0.006098,0.265821,0.489123
60000.0,0.167582,3416.654746,0.006427,0.266315,0.489782
70000.0,0.167497,3408.410349,0.006427,0.266645,0.491925
79999.0,0.167706,3403.958471,0.006592,0.267304,0.49209
