epoch,MR,MRR,HIT1,HIT3,HIT10
0.0,0.000306,20361.362722,0.0,0.000165,0.00033
10000.0,0.31247,4006.493408,0.205339,0.38563,0.502472
20000.0,0.312928,3947.042683,0.205339,0.383322,0.50033
30000.0,0.309557,4079.993078,0.199407,0.38497,0.503626
40000.0,0.31029,3998.508899,0.201055,0.384311,0.503626
50000.0,0.30312,3979.966711,0.187706,0.384641,0.509064
60000.0,0.303055,3986.258734,0.187541,0.383322,0.50824
70000.0,0.302719,3988.079927,0.186882,0.382828,0.508899
79999.0,0.303486,3966.593111,0.187706,0.384476,0.509888
